tp,input_len,output_len,freq,rps,power,ttft_p99,tpot_p99
8,1023,99,1080,6.687013769808846,2186.4814546042307,0.4029834270477295,0.036346064727891626
8,1023,99,1080,7.801516064776988,2274.5324495216305,0.4596651792526245,0.04253642217292466
8,1023,99,1080,8.916018359745129,2366.0110681017486,0.500503747463226,0.05108393493792335
8,1023,99,1380,1.530582076244939,2141.5370458432117,0.13153769572575882,0.015102562824491931
8,1023,99,1380,3.061164152489878,2418.208290082756,0.1675370240211487,0.019666384774422466
8,1023,99,1380,4.5917462287348165,2573.735337666503,0.21393676201502476,0.022381524584047158
8,1023,99,1380,6.122328304979756,2704.2858410544954,0.26442938963572166,0.025436022799009275
8,1023,99,1380,7.652910381224695,2841.1416643813204,0.3137008786201478,0.0292064663867382
8,1023,99,1380,9.183492457469631,2995.868563813128,0.36477504173914593,0.033527246153060915
8,1023,99,1380,10.714074533714571,3164.1220139701127,0.4123071885108949,0.042157986497688614
8,1023,99,1380,12.244656609959511,3317.4307811627514,0.45822857936223343,0.050052348765406436
8,1023,99,1680,1.7046484660296164,2664.747081166406,0.11556713342666629,0.01433734701227795
8,1023,99,1680,3.409296932059233,3041.077932894705,0.1531210994720459,0.017913955334011814
8,1023,99,1680,5.113945398088849,3234.315243883919,0.20981084585189816,0.020801480852141865
8,1023,99,1680,6.818593864118466,3423.4353008009584,0.23580204327901208,0.023497174509387642
8,1023,99,1680,8.523242330148083,3645.055256575745,0.28416531483332313,0.02681595954864098
8,1023,99,1680,10.227890796177698,3869.0770857048606,0.3367204729715983,0.03191494788162769
8,1023,99,1680,11.932539262207314,4102.7123136184855,0.36656711022059124,0.037755085882547244
8,1023,99,1680,13.637187728236931,4329.616123604246,0.4101973938941954,0.04583439083217514
8,1023,99,1830,1.7512283478197477,2851.3534589356586,0.11373208999633784,0.014071367402314591
8,1023,99,1830,3.502456695639496,3251.0462563394244,0.15011529525121056,0.017861727712925997
8,1023,99,1830,5.253685043459243,3469.2740894777908,0.20853777647018454,0.020340648550882873
8,1023,99,1830,7.004913391278991,3671.94113539613,0.23352445761362717,0.02299894947652929
8,1023,99,1830,8.756141739098739,3912.6858176474593,0.27539328893025716,0.026239017702995512
8,1023,99,1830,10.507370086918488,4143.402628456882,0.3253057360649109,0.031188232486223894
8,1023,99,1830,12.258598434738234,4398.041226666294,0.35615374883015943,0.03823960251020383
8,1023,99,1830,14.00982678255798,4629.950824868339,0.40967458089192715,0.044648889216328876
